"year","area","geographic_level","Agriculture and Fishing","Energy and Water","Manufacturing","Construction","Distribution, Hotel and Restaurants","Transport and Communication","Banking, Finance and Insurance","Public Administration, Education and Health","Other Services"
2017,"Brighton and Hove, East Sussex, West Sussex","LSIP","3700","8800","51200","62100","147600","73900","149100","255600","54900"
2017,"Buckinghamshire ","LSIP","1000","3300","29800","20000","43500","32500","55800","75200","13600"
2017,"Cambridgeshire and Peterborough","LSIP","3000","4400","45600","33400","68600","44600","87800","116300","21700"
2017,"Cheshire and Warrington","LSIP","2300","8800","57700","27300","79500","36700","82300","117700","26000"
2017,"Cornwall and the Isles of Scilly","LSIP","11300","4300","21100","23400","62900","12400","39600","66700","19400"
2017,"Cumbria","LSIP","7600","8600","29000","17300","52500","10900","31800","66300","9500"
2017,"Derbyshire and Nottinghamshire","LSIP","1200","12400","141700","81800","199800","95700","134800","308400","59600"
2017,"Dorset","LSIP","7600","9100","73700","57200","131500","64800","141800","222400","43400"
2017,"Enterprise M3 LEP (including all of Surrey)","LSIP","0","1800","36100","37400","82200","77700","132100","168000","48200"
2017,"Essex, Southend-on-Sea and Thurrock","LSIP","1600","13000","69200","81900","155900","82500","188000","245500","56600"
2017,"Gloucestershire","LSIP","1200","7800","38800","22200","65300","28300","61700","77900","18800"
2017,"Greater Lincolnshire","LSIP","16600","7500","70400","30700","117800","37500","56200","153600","28000"
2017,"Greater London","LSIP","0","35900","150400","307100","750700","556100","1210800","1205400","326000"
2017,"Greater Manchester","LSIP","600","16700","111000","98200","254800","135400","227000","400600","74100"
2017,"Heart of the South-West","LSIP","24600","9500","82000","60700","197500","43400","106300","264200","48600"
2017,"Hertfordshire","LSIP","0","0","44700","55800","110200","68200","113200","159500","43600"
2017,"Hull and East Yorkshire","LSIP","5300","5900","40100","20100","57500","17500","27900","84300","15600"
2017,"Kent and Medway","LSIP","10800","12100","60000","82400","152300","79200","153500","267600","53800"
2017,"Lancashire","LSIP","1800","5800","86400","42800","140500","54600","90800","228300","36700"
2017,"Leicester and Leicestershire","LSIP","2500","10400","63600","35600","100300","41500","60300","143100","24600"
2017,"Liverpool City Region","LSIP","0","9700","62600","54300","136200","57900","109000","236100","41800"
2017,"Norfolk and Suffolk ","LSIP","13100","13100","78800","63100","156700","62900","115000","224300","40700"
2017,"North East","LSIP","3800","11100","68700","39300","85800","34600","70800","183800","28500"
2017,"North of Tyne","LSIP","3500","7900","33200","25400","74300","26400","59500","120200","22200"
2017,"Oxfordshire","LSIP","1800","0","38500","16900","54700","27700","72100","123100","22200"
2017,"Solent","LSIP","1000","7600","61600","52500","120200","52400","86100","190400","30200"
2017,"South East Midlands","LSIP","3800","10300","85300","67500","171100","98400","136500","217700","46000"
2017,"South Yorkshire","LSIP","1100","8200","70100","49500","125100","56600","92900","208200","32100"
2017,"Stoke-on-Trent and Staffordshire","LSIP","3300","4900","70500","40200","120600","47500","75000","157700","25400"
2017,"Swindon and Wiltshire","LSIP","5000","3600","45900","27300","62600","30200","59900","108300","19100"
2017,"Tees Valley","LSIP","600","7500","26600","21100","62000","19500","35200","96200","15600"
2017,"Thames Valley Berkshire","LSIP","1700","9500","40200","26200","82300","78200","91400","113500","28500"
2017,"The Marches","LSIP","16600","4000","41600","27300","62200","18200","41700","102600","17900"
2017,"West Midlands and Warwickshire","LSIP","6300","23200","184600","98900","285600","148200","245400","466200","78900"
2017,"West of England and North Somerset","LSIP","3700","11000","39400","37300","94700","55000","117900","205100","32200"
2017,"West Yorkshire","LSIP","2200","11700","117700","82500","213600","98600","174500","329200","55200"
2017,"Worcestershire","LSIP","1300","2700","38100","21200","56900","19600","48500","77100","17300"
2017,"York and North Yorkshire","LSIP","9500","1600","34000","24000","95000","28400","59000","115800","21600"
2018,"Brighton and Hove, East Sussex, West Sussex","LSIP","9300","10700","50400","55200","149000","76000","156200","265600","42300"
2018,"Buckinghamshire ","LSIP","2000","3600","25900","16400","40400","26000","62700","78600","15500"
2018,"Cambridgeshire and Peterborough","LSIP","1400","700","49400","26300","68600","48500","77800","134700","25400"
2018,"Cheshire and Warrington","LSIP","6600","7600","54000","28700","84000","38600","75900","134800","21700"
2018,"Cornwall and the Isles of Scilly","LSIP","8400","3200","19700","18600","70700","13000","37600","80800","18300"
2018,"Cumbria","LSIP","9000","12500","33400","18600","45600","12100","28500","65100","13100"
2018,"Derbyshire and Nottinghamshire","LSIP","6400","15700","151600","74600","197600","87400","136200","327100","54500"
2018,"Dorset","LSIP","4400","9800","73800","49200","135900","69100","135600","227300","45300"
2018,"Enterprise M3 LEP (including all of Surrey)","LSIP","1400","0","41500","45600","82200","75400","151700","170000","45800"
2018,"Essex, Southend-on-Sea and Thurrock","LSIP","1100","7400","64600","75000","150800","91200","190800","257100","56200"
2018,"Gloucestershire","LSIP","2200","3500","39300","25400","54300","17100","65400","93300","16400"
2018,"Greater Lincolnshire","LSIP","13900","4800","69800","32900","113600","34000","56300","149700","31200"
2018,"Greater London","LSIP","0","19300","148600","322600","689800","561500","1257600","1243900","351200"
2018,"Greater Manchester","LSIP","0","21000","108500","90300","267300","123100","230800","401200","75200"
2018,"Heart of the South-West","LSIP","19200","11100","85600","60800","174200","56600","121700","271100","45400"
2018,"Hertfordshire","LSIP","0","1400","32900","40400","115400","70200","131100","163200","35700"
2018,"Hull and East Yorkshire","LSIP","4700","8300","40600","18400","57900","17300","32300","88300","15200"
2018,"Kent and Medway","LSIP","7300","12800","59400","84700","172800","73300","155100","267000","58700"
2018,"Lancashire","LSIP","3900","2900","79700","40800","134900","51200","98500","227900","35400"
2018,"Leicester and Leicestershire","LSIP","2900","5100","66900","35800","103300","50600","61900","155800","27700"
2018,"Liverpool City Region","LSIP","800","8500","72000","46300","132600","60300","111700","248400","43000"
2018,"Norfolk and Suffolk ","LSIP","17700","19900","82200","58100","153400","64900","115800","242400","42600"
2018,"North East","LSIP","2700","10000","71200","38800","91500","38400","71100","181500","28400"
2018,"North of Tyne","LSIP","3800","8200","30400","28000","70500","32900","51200","133200","22800"
2018,"Oxfordshire","LSIP","1900","2800","36700","18000","59900","35800","72500","111900","22800"
2018,"Solent","LSIP","1000","10600","67400","52100","102400","54900","95400","189000","33900"
2018,"South East Midlands","LSIP","2900","10600","101000","61800","150700","88000","152200","241000","40400"
2018,"South Yorkshire","LSIP","1300","9000","73400","51900","113700","63400","95000","219900","32900"
2018,"Stoke-on-Trent and Staffordshire","LSIP","3500","10500","68600","41500","108400","51400","76600","160600","24300"
2018,"Swindon and Wiltshire","LSIP","4500","4500","41700","29700","63700","24000","61400","106500","20000"
2018,"Tees Valley","LSIP","800","9300","30900","20400","54400","22000","38100","97400","14300"
2018,"Thames Valley Berkshire","LSIP","1800","10000","40900","27200","74900","79000","91900","116100","27800"
2018,"The Marches","LSIP","13500","6100","48900","30000","57300","19200","44100","101300","20100"
2018,"West Midlands and Warwickshire","LSIP","6600","19400","192100","101800","289400","150700","242900","484200","76500"
2018,"West of England and North Somerset","LSIP","500","11900","46700","40100","98300","54000","109300","207300","34400"
2018,"West Yorkshire","LSIP","0","14000","109500","76500","211800","93800","175900","333300","51500"
2018,"Worcestershire","LSIP","1400","4500","40600","28100","53300","24700","42300","76900","15900"
2018,"York and North Yorkshire","LSIP","17600","4600","33600","30400","84900","23500","61800","126000","18000"
2019,"Brighton and Hove, East Sussex, West Sussex","LSIP","3500","6100","59000","56400","143500","75500","176800","264400","51900"
2019,"Buckinghamshire ","LSIP","1100","3300","27500","17900","45300","32100","60400","73800","16100"
2019,"Cambridgeshire and Peterborough","LSIP","1700","900","49600","26100","66600","55300","68500","125700","23200"
2019,"Cheshire and Warrington","LSIP","6400","6900","54600","22400","92700","32500","80200","138500","24000"
2019,"Cornwall and the Isles of Scilly","LSIP","4800","4000","18500","22300","75300","14900","26200","87600","11900"
2019,"Cumbria","LSIP","8000","16600","30900","19700","45500","13800","29900","60800","11600"
2019,"Derbyshire and Nottinghamshire","LSIP","9400","13300","141600","75300","216600","81300","153200","320900","46300"
2019,"Dorset","LSIP","2900","6700","63600","48700","131000","65100","134100","238600","44200"
2019,"Enterprise M3 LEP (including all of Surrey)","LSIP","0","0","44900","41500","78600","84400","133800","170500","54200"
2019,"Essex, Southend-on-Sea and Thurrock","LSIP","1900","5400","63500","83400","136600","91000","194000","245200","58700"
2019,"Gloucestershire","LSIP","2400","2900","37600","23100","49800","27400","54400","109500","19100"
2019,"Greater Lincolnshire","LSIP","11100","9500","68300","35000","112400","34800","58400","132800","26100"
2019,"Greater London","LSIP","0","22900","167700","287500","725200","562700","1250300","1352900","315600"
2019,"Greater Manchester","LSIP","1700","17400","112400","88100","263200","123500","231700","406300","81700"
2019,"Heart of the South-West","LSIP","18100","10700","80500","56800","180300","50000","124100","269300","40600"
2019,"Hertfordshire","LSIP","0","4600","41700","51300","101200","65500","136600","180500","32000"
2019,"Hull and East Yorkshire","LSIP","4700","4200","43500","18300","54400","18400","37300","90300","13900"
2019,"Kent and Medway","LSIP","6200","5600","50300","77600","171200","84200","163600","273900","46700"
2019,"Lancashire","LSIP","3700","6800","81400","41900","131500","71400","93900","220100","45200"
2019,"Leicester and Leicestershire","LSIP","2400","8900","75400","40600","103200","48700","64800","162600","19500"
2019,"Liverpool City Region","LSIP","0","9300","61000","47600","129500","63900","118800","257600","39800"
2019,"Norfolk and Suffolk ","LSIP","11500","7500","77500","59800","158700","62500","138900","240900","42500"
2019,"North East","LSIP","1800","9500","62100","41500","93500","31800","72200","186900","29800"
2019,"North of Tyne","LSIP","5100","6700","32300","22600","61200","37800","54800","137900","23500"
2019,"Oxfordshire","LSIP","1200","1500","32700","23700","54800","42900","67200","115100","27400"
2019,"Solent","LSIP","2600","8900","63000","40800","109400","53800","93400","197900","39000"
2019,"South East Midlands","LSIP","6400","10200","92100","67300","152700","101000","163900","243200","43000"
2019,"South Yorkshire","LSIP","1500","9100","69600","49900","108300","58300","87500","238000","35500"
2019,"Stoke-on-Trent and Staffordshire","LSIP","1600","9000","74200","45700","105800","47900","67900","160700","30800"
2019,"Swindon and Wiltshire","LSIP","3000","3200","40100","28000","55200","33500","69500","104100","23100"
2019,"Tees Valley","LSIP","1300","7700","27300","23600","56800","19900","35000","104200","14700"
2019,"Thames Valley Berkshire","LSIP","1300","9500","40900","26700","78300","72700","98600","119500","25800"
2019,"The Marches","LSIP","12300","5500","39800","24100","53500","20400","49800","105800","20400"
2019,"West Midlands and Warwickshire","LSIP","5800","24400","192800","103300","289400","157700","247900","490400","82600"
2019,"West of England and North Somerset","LSIP","2100","12200","45000","43600","84700","52200","117800","208000","34200"
2019,"West Yorkshire","LSIP","900","11500","129600","68700","193300","100100","190600","340100","57900"
2019,"Worcestershire","LSIP","1400","2500","33100","28900","45400","22600","47600","87700","12100"
2019,"York and North Yorkshire","LSIP","10600","6000","35900","22600","90200","23800","61200","123100","19200"
2020,"Brighton and Hove, East Sussex, West Sussex","LSIP","5900","5500","58600","55400","129400","71800","163400","281800","49400"
2020,"Buckinghamshire ","LSIP","1200","1900","26600","20700","33200","32500","53900","76900","18000"
2020,"Cambridgeshire and Peterborough","LSIP","4300","2200","51100","28000","58300","38600","61400","149200","25600"
2020,"Cheshire and Warrington","LSIP","7600","5100","54500","26900","73000","38200","85600","129100","27700"
2020,"Cornwall and the Isles of Scilly","LSIP","6900","5100","20300","23000","64100","11800","27200","82100","13400"
2020,"Cumbria","LSIP","8400","9900","30600","13700","45600","15100","26500","60700","9000"
2020,"Derbyshire and Nottinghamshire","LSIP","5800","13400","131100","66400","197000","88700","139200","332500","58300"
2020,"Dorset","LSIP","4000","6800","68200","54900","122900","60300","146400","218200","48300"
2020,"Enterprise M3 LEP (including all of Surrey)","LSIP","1900","5100","43500","35900","73100","77800","153700","168000","44900"
2020,"Essex, Southend-on-Sea and Thurrock","LSIP","5300","6400","48400","79300","139200","93500","200200","260200","51700"
2020,"Gloucestershire","LSIP","2400","5100","36000","19900","46600","30800","55800","92500","12300"
2020,"Greater Lincolnshire","LSIP","11900","9200","60100","31400","103400","40300","56500","147200","28000"
2020,"Greater London","LSIP","1000","6000","156400","243900","594900","642500","1297800","1358300","324300"
2020,"Greater Manchester","LSIP","0","9100","107300","82500","230700","113000","262500","430600","71200"
2020,"Heart of the South-West","LSIP","16700","11300","81300","60900","168400","52000","116400","262400","37700"
2020,"Hertfordshire","LSIP","1400","1500","41000","48800","85500","71400","145400","189200","30200"
2020,"Hull and East Yorkshire","LSIP","4000","5000","40500","19600","47900","21600","32400","87600","14500"
2020,"Kent and Medway","LSIP","1400","17100","60200","81200","153600","89800","158500","272700","47800"
2020,"Lancashire","LSIP","5900","7600","83600","46600","138200","56800","87200","216100","37100"
2020,"Leicester and Leicestershire","LSIP","5900","8700","69800","33100","94400","37100","76000","153000","23200"
2020,"Liverpool City Region","LSIP","0","10600","50400","42100","125000","56000","120400","278000","36000"
2020,"Norfolk and Suffolk ","LSIP","11200","6600","64600","60100","147300","64600","125400","233600","46500"
2020,"North East","LSIP","1500","12900","53000","33600","93700","36700","66700","183600","29800"
2020,"North of Tyne","LSIP","2400","4500","25100","20700","69200","32400","56000","144900","20600"
2020,"Oxfordshire","LSIP","900","1400","33300","20600","47700","37100","65800","109200","20500"
2020,"Solent","LSIP","800","7800","57900","42200","107900","50400","82500","206600","33900"
2020,"South East Midlands","LSIP","4200","7200","86000","62400","119000","107200","153100","241100","45400"
2020,"South Yorkshire","LSIP","700","10800","75000","52900","102900","63400","82800","226500","29400"
2020,"Stoke-on-Trent and Staffordshire","LSIP","2700","4900","68700","39400","104300","49100","67700","162600","26300"
2020,"Swindon and Wiltshire","LSIP","7600","6000","37300","27400","49900","31600","64200","100900","31500"
2020,"Tees Valley","LSIP","0","6200","27100","21900","52100","21300","39500","106600","17000"
2020,"Thames Valley Berkshire","LSIP","1100","8500","40900","26300","67700","70500","99200","121700","24800"
2020,"The Marches","LSIP","9100","4800","36500","22500","48700","22000","50400","109600","19200"
2020,"West Midlands and Warwickshire","LSIP","900","31300","172400","91100","264900","156800","258800","526000","88800"
2020,"West of England and North Somerset","LSIP","3600","10600","42600","28900","84500","56600","129000","212700","29900"
2020,"West Yorkshire","LSIP","1500","20700","115800","75300","191300","94700","186600","372300","47600"
2020,"Worcestershire","LSIP","1200","2100","35500","19900","50800","19700","55700","88200","17200"
2020,"York and North Yorkshire","LSIP","9300","1900","40700","22700","65600","31000","58400","133500","23300"
2021,"Brighton and Hove, East Sussex, West Sussex","LSIP","6600","4400","53700","39500","134000","90600","166000","282800","64800"
2021,"Buckinghamshire ","LSIP","1900","3700","27100","20200","41300","43400","56500","71900","11600"
2021,"Cambridgeshire and Peterborough","LSIP","2600","3900","54800","28300","65300","41600","76300","126700","26100"
2021,"Cheshire and Warrington","LSIP","4600","10700","45500","25200","68500","37700","81400","133400","28700"
2021,"Cornwall and the Isles of Scilly","LSIP","8700","7000","18300","20200","66300","13500","31400","85000","15300"
2021,"Cumbria","LSIP","7100","18200","24200","17400","45600","10700","27300","69000","13800"
2021,"Derbyshire and Nottinghamshire","LSIP","1100","12100","128000","69800","180300","99600","142700","356600","51600"
2021,"Dorset","LSIP","3800","8400","63200","46500","123800","79400","144700","218400","42400"
2021,"Enterprise M3 LEP (including all of Surrey)","LSIP","0","4000","37400","31900","81400","80400","147100","172600","43100"
2021,"Essex, Southend-on-Sea and Thurrock","LSIP","2500","10800","55100","82800","163400","77000","185000","275900","53500"
2021,"Gloucestershire","LSIP","1100","1700","40800","17100","45900","28900","54700","109300","14200"
2021,"Greater Lincolnshire","LSIP","4600","8500","65000","33600","109100","41900","63000","151800","29700"
2021,"Greater London","LSIP","1300","10200","142500","267000","672600","641700","1302300","1393800","337900"
2021,"Greater Manchester","LSIP","2500","14700","96500","83200","216200","127100","260500","446700","65100"
2021,"Heart of the South-West","LSIP","12000","11600","73400","64600","163900","60400","119300","277100","42800"
2021,"Hertfordshire","LSIP","600","9300","37300","48100","87100","63900","142300","178500","39500"
2021,"Hull and East Yorkshire","LSIP","3200","4800","38500","18000","51100","20800","34300","95700","12400"
2021,"Kent and Medway","LSIP","1100","8400","47200","85100","135500","74300","180600","286000","37700"
2021,"Lancashire","LSIP","7000","2100","91400","38700","132700","37400","82800","218600","30700"
2021,"Leicester and Leicestershire","LSIP","1400","8600","65500","35000","84400","42700","77500","175100","20700"
2021,"Liverpool City Region","LSIP","900","9700","64500","42400","105100","67600","114100","295300","40400"
2021,"Norfolk and Suffolk ","LSIP","10200","9100","64500","56100","150200","57800","124600","245800","49700"
2021,"North East","LSIP","4000","6600","71200","37800","97700","35600","71700","172100","26800"
2021,"North of Tyne","LSIP","4000","6300","34500","23300","60100","26900","57000","138300","19900"
2021,"Oxfordshire","LSIP","0","5600","23300","14600","50000","36000","64300","125600","21500"
2021,"Solent","LSIP","1300","4000","58600","39300","103500","52300","89300","215800","35300"
2021,"South East Midlands","LSIP","3400","8800","100700","67200","137600","114500","143900","223600","38200"
2021,"South Yorkshire","LSIP","0","9100","60000","47000","125400","68400","93400","231200","26100"
2021,"Stoke-on-Trent and Staffordshire","LSIP","4100","5100","80500","40800","105300","44300","72800","168000","35400"
2021,"Swindon and Wiltshire","LSIP","2600","7900","38600","23600","59200","25700","60600","123400","21200"
2021,"Tees Valley","LSIP","800","7200","24700","20900","57000","22500","41700","95500","15300"
2021,"Thames Valley Berkshire","LSIP","1800","7000","40700","31100","58000","80900","99400","124200","24000"
2021,"The Marches","LSIP","11700","5300","38900","19900","58700","17200","48300","104500","19300"
2021,"West Midlands and Warwickshire","LSIP","0","23000","200900","88500","242300","167100","255700","538600","84000"
2021,"West of England and North Somerset","LSIP","3000","13500","50500","32100","96800","62800","121800","211000","29800"
2021,"West Yorkshire","LSIP","3000","22200","100300","74800","197400","99100","195600","357700","51300"
2021,"Worcestershire","LSIP","3300","1000","31600","15700","45200","23800","49900","91100","13100"
2021,"York and North Yorkshire","LSIP","6500","1400","32500","25700","72100","27900","68000","136300","31100"
